"DATE","NEIGHBORHOOD_NAME","BOROUGH","MODZCTA","Label","AGE_GROUP","POP_DENOMINATOR","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL"
2023-07-13,"Flatbush/Prospect Lefferts Gardens","Brooklyn","11226","11226","18+",77335.54,7787,70216,78003,32787,11511,10.07,90.79,100.86,42.4,14.88
2023-07-13,"Bath Beach/Dyker Heights","Brooklyn","11228","11228","18+",35510.23,2276,30400,32676,17641,5004,6.41,85.61,92.02,49.68,14.09
2023-07-13,"Gerritsen Beach/Homecrest/Sheepshead Bay","Brooklyn","11229","11229","18+",65554.74,3735,51873,55608,26472,8379,5.7,79.13,84.83,40.38,12.78
2023-07-13,"Midwood","Brooklyn","11230","11230","18+",64635.23,4566,49310,53876,21768,6659,7.06,76.29,83.35,33.68,10.3
2023-07-13,"Carroll Gardens/Cobble Hill/Red Hook","Brooklyn","11231","11231","18+",30285.65,2387,24871,27258,16843,9335,7.88,82.12,90,55.61,30.82
2023-07-13,"Sunset Park","Brooklyn","11232","11232","18+",21455.8,2202,19269,21471,10316,3601,10.26,89.81,100.07,48.08,16.78
2023-07-13,"Bedford-Stuyvesant (East)/Ocean Hill-Brownsville","Brooklyn","11233","11233","18+",56732.43,5150,42199,47349,19062,6390,9.08,74.38,83.46,33.6,11.26
2023-07-13,"Bergen Beach/Flatlands/Marine Park/Mill Basin","Brooklyn","11234","11234","18+",73346.64,3991,56441,60432,27554,7824,5.44,76.95,82.39,37.57,10.67
2023-07-13,"Brighton Beach/Manhattan Beach/Sheepshead Bay","Brooklyn","11235","11235","18+",65010.78,4343,55627,59970,23990,6211,6.68,85.57,92.25,36.9,9.55
2023-07-13,"Canarsie","Brooklyn","11236","11236","18+",76845.81,5261,60036,65297,25486,6038,6.85,78.13,84.97,33.17,7.86
2023-07-13,"Bushwick/East Williamsburg","Brooklyn","11237","11237","18+",37702.33,5183,35365,40548,16521,5450,13.75,93.8,107.55,43.82,14.46
2023-07-13,"Clinton Hill/Prospect Heights","Brooklyn","11238","11238","18+",45933.55,4510,43334,47844,28758,15732,9.82,94.34,104.16,62.61,34.25
2023-07-13,"East New York","Brooklyn","11239","11239","18+",10746.76,956,11660,12616,5334,1514,8.9,108.5,117.39,49.63,14.09
2023-07-13,"Flushing/Murray Hill","Queens","11354","11354","18+",46305.65,4876,49645,54521,31046,10676,10.53,107.21,117.74,67.05,23.06
2023-07-13,"Flushing/Murray Hill/Queensboro Hill","Queens","11355","11355","18+",66856.37,8596,80443,89039,50505,14549,12.86,120.32,133.18,75.54,21.76
2023-07-13,"College Point","Queens","11356","11356","18+",17775.53,2159,20125,22284,10291,2816,12.15,113.22,125.36,57.89,15.84
2023-07-13,"Whitestone","Queens","11357","11357","18+",31475.11,2136,30198,32334,18314,6107,6.79,95.94,102.73,58.19,19.4
2023-07-13,"Auburndale/Murray Hill","Queens","11358","11358","18+",29641.54,2430,31200,33630,19564,6258,8.2,105.26,113.46,66,21.11
2023-07-13,"Bayside (North)","Queens","11360","11360","18+",16134.98,962,15041,16003,10590,4820,5.96,93.22,99.18,65.63,29.87
2023-07-13,"Bayside (North)/Bayside (South)","Queens","11361","11361","18+",21576.15,1684,22017,23701,14220,4992,7.8,102.04,109.85,65.91,23.14
2023-07-13,"Douglaston-Little Neck","Queens","11362","11362","18+",14730.32,973,13928,14901,9578,3880,6.61,94.55,101.16,65.02,26.34
2023-07-13,"Douglaston-Little Neck","Queens","11363","11363","18+",5404,376,5234,5610,3673,1531,6.96,96.85,103.81,67.97,28.33
2023-07-13,"Bayside (South)/Oakland Gardens","Queens","11364","11364","18+",29084.9,1873,28018,29891,19416,7189,6.44,96.33,102.77,66.76,24.72
2023-07-13,"Auburndale/Fresh Meadows/Pomonok/Utopia","Queens","11365","11365","18+",35054.7,2779,33954,36733,20640,6630,7.93,96.86,104.79,58.88,18.91
2023-07-13,"Fresh Meadows/Hillcrest","Queens","11366","11366","18+",11544.71,853,10349,11202,6383,2368,7.39,89.64,97.03,55.29,20.51
2023-07-13,"Kew Gardens Hills/Pomonok","Queens","11367","11367","18+",31414.15,2441,27619,30060,15243,4698,7.77,87.92,95.69,48.52,14.96
2023-07-13,"Corona/North Corona","Queens","11368","11368","18+",83122.23,12423,89128,101551,33653,6801,14.95,107.23,122.17,40.49,8.18
2023-07-13,"Airport/East Elmhurst","Queens","11369","11369","18+",26106.55,3430,28945,32375,13246,3402,13.14,110.87,124.01,50.74,13.03
2023-07-13,"Jackson Heights/Rikers Island","Queens","11370","11370","18+",26609.32,2148,22143,24291,11463,3218,8.07,83.22,91.29,43.08,12.09
